interactor,degree_centrality,degree_centrality_norm,betweenness_centrality,betweenness_centrality_norm
DIP-56069N,2,0.0031201248049922,0.5,2.43759750390016e-06
DIP-46795N,2,0.0031201248049922,0.5,2.43759750390016e-06
DIP-39763N,1,0.0015600624024961,0,0
DIP-60380N,1,0.0015600624024961,0,0
DIP-60381N,1,0.0015600624024961,0,0
DIP-41279N,4,0.0062402496099844,118,0.000575273010920437
DIP-60385N,1,0.0015600624024961,0,0
DIP-32976N,1,0.0015600624024961,0,0
DIP-32368N,1,0.0015600624024961,0,0
DIP-60433N,1,0.0015600624024961,0,0
DIP-46016N,1,0.0015600624024961,0,0
DIP-60432N,1,0.0015600624024961,0,0
DIP-37019N,4,0.0062402496099844,44,0.000214508580343214
DIP-60384N,2,0.0031201248049922,0,0
DIP-685N,1,0.0015600624024961,0,0
DIP-42782N,2,0.0031201248049922,14,6.82527301092044e-05
DIP-59600N,1,0.0015600624024961,0,0
DIP-59601N,2,0.0031201248049922,1,4.87519500780031e-06
DIP-35502N,3,0.0046801872074883,0,0
DIP-33091N,1,0.0015600624024961,0,0
DIP-60508N,1,0.0015600624024961,0,0
DIP-1258N,2,0.0031201248049922,1,4.87519500780031e-06
DIP-60518N,1,0.0015600624024961,0,0
DIP-47656N,3,0.0046801872074883,442,0.00215483619344774
DIP-47657N,1,0.0015600624024961,0,0
DIP-60524N,1,0.0015600624024961,0,0
DIP-60561N,2,0.0031201248049922,14,6.82527301092044e-05
DIP-56949N,0,0,0,0
DIP-44064N,1,0.0015600624024961,0,0
DIP-60657N,0,0,0,0
DIP-60682N,1,0.0015600624024961,0,0
DIP-60681N,1,0.0015600624024961,0,0
DIP-60704N,3,0.0046801872074883,125,0.000609399375975039
DIP-29698N,5,0.0078003120124805,70,0.000341263650546022
DIP-60713N,1,0.0015600624024961,0,0
DIP-54818N,3,0.0046801872074883,13,6.33775351014041e-05
DIP-29208N,8,0.0124804992199688,454.5,0.00221577613104524
DIP-33275N,4,0.0062402496099844,171,0.000833658346333853
DIP-60740N,2,0.0031201248049922,2.5,1.21879875195008e-05
DIP-60739N,2,0.0031201248049922,0.5,2.43759750390016e-06
DIP-60741N,2,0.0031201248049922,1,4.87519500780031e-06
DIP-60751N,1,0.0015600624024961,0,0
DIP-33696N,2,0.0031201248049922,0,0
DIP-60770N,1,0.0015600624024961,0,0
DIP-33953N,2,0.0031201248049922,0,0
DIP-37114N,1,0.0015600624024961,0,0
DIP-60789N,1,0.0015600624024961,0,0
DIP-59249N,2,0.0031201248049922,1,4.87519500780031e-06
DIP-60794N,0,0,0,0
DIP-47397N,3,0.0046801872074883,2,9.75039001560062e-06
DIP-60742N,1,0.0015600624024961,0,0
DIP-5855N,1,0.0015600624024961,0,0
DIP-60851N,1,0.0015600624024961,0,0
DIP-60850N,1,0.0015600624024961,0,0
DIP-60874N,1,0.0015600624024961,0,0
DIP-31532N,1,0.0015600624024961,0,0
DIP-55974N,1,0.0015600624024961,0,0
DIP-44866N,2,0.0031201248049922,1,4.87519500780031e-06
DIP-36948N,1,0.0015600624024961,0,0
DIP-5740N,1,0.0015600624024961,0,0
DIP-44935N,1,0.0015600624024961,0,0
DIP-36536N,1,0.0015600624024961,0,0
DIP-60962N,2,0.0031201248049922,1,4.87519500780031e-06
DIP-60964N,1,0.0015600624024961,0,0
DIP-29066N,4,0.0062402496099844,37.9166666666667,0.000184851144045762
DIP-46229N,1,0.0015600624024961,0,0
DIP-29206N,1,0.0015600624024961,0,0
DIP-60985N,3,0.0046801872074883,2.5,1.21879875195008e-05
DIP-44909N,4,0.0062402496099844,7.5,3.65639625585023e-05
DIP-60983N,3,0.0046801872074883,5.66666666666667,2.76261050442018e-05
DIP-60988N,2,0.0031201248049922,0.666666666666667,3.25013000520021e-06
DIP-60987N,2,0.0031201248049922,0.666666666666667,3.25013000520021e-06
DIP-1136N,1,0.0015600624024961,0,0
DIP-61095N,1,0.0015600624024961,0,0
DIP-61121N,2,0.0031201248049922,1,4.87519500780031e-06
DIP-35686N,1,0.0015600624024961,0,0
DIP-40738N,2,0.0031201248049922,1,4.87519500780031e-06
DIP-33272N,1,0.0015600624024961,0,0
DIP-57661N,1,0.0015600624024961,0,0
DIP-61146N,1,0.0015600624024961,0,0
DIP-36887N,1,0.0015600624024961,0,0
DIP-41029N,1,0.0015600624024961,0,0
DIP-61308N,1,0.0015600624024961,0,0
DIP-61263N,1,0.0015600624024961,0,0
DIP-61264N,1,0.0015600624024961,0,0
DIP-61290N,1,0.0015600624024961,0,0
DIP-61213N,1,0.0015600624024961,0,0
DIP-61212N,2,0.0031201248049922,1,4.87519500780031e-06
DIP-2262N,1,0.0015600624024961,0,0
DIP-5979N,1,0.0015600624024961,0,0
DIP-33878N,1,0.0015600624024961,0,0
DIP-61326N,1,0.0015600624024961,0,0
DIP-61327N,1,0.0015600624024961,0,0
DIP-44817N,0,0,0,0
DIP-29452N,1,0.0015600624024961,0,0
DIP-61522N,0,0,0,0
DIP-41937N,0,0,0,0
DIP-41143N,0,0,0,0
DIP-37175N,2,0.0031201248049922,0,0
DIP-61629N,1,0.0015600624024961,0,0
DIP-33098N,3,0.0046801872074883,58,0.000282761310452418
DIP-61632N,3,0.0046801872074883,3,1.46255850234009e-05
DIP-31950N,1,0.0015600624024961,0,0
DIP-582N,2,0.0031201248049922,2,9.75039001560062e-06
DIP-736N,1,0.0015600624024961,0,0
DIP-403N,1,0.0015600624024961,0,0
DIP-261N,1,0.0015600624024961,0,0
DIP-22N,1,0.0015600624024961,0,0
DIP-61N,1,0.0015600624024961,0,0
DIP-604N,1,0.0015600624024961,0,0
DIP-259N,1,0.0015600624024961,0,0
DIP-666N,1,0.0015600624024961,0,0
DIP-464N,1,0.0015600624024961,0,0
DIP-118N,1,0.0015600624024961,0,0
DIP-485N,1,0.0015600624024961,0,0
DIP-1048N,4,0.0062402496099844,11.5,5.60647425897036e-05
DIP-502N,1,0.0015600624024961,0,0
DIP-29229N,1,0.0015600624024961,0,0
DIP-208N,1,0.0015600624024961,0,0
DIP-1007N,1,0.0015600624024961,0,0
DIP-66N,1,0.0015600624024961,0,0
DIP-491N,1,0.0015600624024961,0,0
DIP-271N,1,0.0015600624024961,0,0
DIP-645N,1,0.0015600624024961,0,0
DIP-608N,1,0.0015600624024961,0,0
DIP-603N,2,0.0031201248049922,1.5,7.31279251170047e-06
DIP-641N,1,0.0015600624024961,0,0
DIP-552N,1,0.0015600624024961,0,0
DIP-869N,1,0.0015600624024961,0,0
DIP-1005N,1,0.0015600624024961,0,0
DIP-1071N,1,0.0015600624024961,0,0
DIP-77N,1,0.0015600624024961,0,0
DIP-2658N,1,0.0015600624024961,0,0
DIP-2662N,2,0.0031201248049922,0,0
DIP-5789N,1,0.0015600624024961,0,0
DIP-5791N,1,0.0015600624024961,0,0
DIP-5932N,1,0.0015600624024961,0,0
DIP-6040N,1,0.0015600624024961,0,0
DIP-6042N,1,0.0015600624024961,0,0
DIP-6074N,1,0.0015600624024961,0,0
DIP-6114N,1,0.0015600624024961,0,0
DIP-5966N,1,0.0015600624024961,0,0
DIP-5967N,1,0.0015600624024961,0,0
DIP-6132N,1,0.0015600624024961,0,0
DIP-6137N,1,0.0015600624024961,0,0
DIP-6140N,1,0.0015600624024961,0,0
DIP-6247N,1,0.0015600624024961,0,0
DIP-24206N,1,0.0015600624024961,0,0
DIP-28138N,1,0.0015600624024961,0,0
DIP-28139N,1,0.0015600624024961,0,0
DIP-29021N,1,0.0015600624024961,0,0
DIP-29119N,1,0.0015600624024961,0,0
DIP-29245N,1,0.0015600624024961,0,0
DIP-29529N,1,0.0015600624024961,0,0
DIP-29589N,2,0.0031201248049922,44,0.000214508580343214
DIP-29638N,1,0.0015600624024961,0,0
DIP-24269N,1,0.0015600624024961,0,0
DIP-29763N,1,0.0015600624024961,0,0
DIP-29776N,1,0.0015600624024961,0,0
DIP-29840N,1,0.0015600624024961,0,0
DIP-29844N,1,0.0015600624024961,0,0
DIP-29847N,1,0.0015600624024961,0,0
DIP-29846N,1,0.0015600624024961,0,0
DIP-29865N,1,0.0015600624024961,0,0
DIP-29878N,1,0.0015600624024961,0,0
DIP-29905N,1,0.0015600624024961,0,0
DIP-29911N,1,0.0015600624024961,0,0
DIP-29974N,1,0.0015600624024961,0,0
DIP-32160N,2,0.0031201248049922,0.5,2.43759750390016e-06
DIP-36407N,1,0.0015600624024961,0,0
DIP-5929N,1,0.0015600624024961,0,0
DIP-46058N,2,0.0031201248049922,1.5,7.31279251170047e-06
DIP-40821N,1,0.0015600624024961,0,0
DIP-46159N,1,0.0015600624024961,0,0
DIP-46160N,1,0.0015600624024961,0,0
DIP-599N,1,0.0015600624024961,0,0
DIP-33949N,1,0.0015600624024961,0,0
DIP-46222N,1,0.0015600624024961,0,0
DIP-46145N,1,0.0015600624024961,0,0
DIP-46242N,1,0.0015600624024961,0,0
DIP-46316N,1,0.0015600624024961,0,0
DIP-46407N,1,0.0015600624024961,0,0
DIP-46211N,1,0.0015600624024961,0,0
DIP-36674N,1,0.0015600624024961,0,0
DIP-41833N,1,0.0015600624024961,0,0
DIP-33254N,1,0.0015600624024961,0,0
DIP-29750N,1,0.0015600624024961,0,0
DIP-37054N,1,0.0015600624024961,0,0
DIP-34031N,2,0.0031201248049922,0,0
DIP-48424N,1,0.0015600624024961,0,0
DIP-40867N,1,0.0015600624024961,0,0
DIP-48447N,1,0.0015600624024961,0,0
DIP-35287N,1,0.0015600624024961,0,0
DIP-36916N,1,0.0015600624024961,0,0
DIP-44925N,1,0.0015600624024961,0,0
DIP-48659N,1,0.0015600624024961,0,0
DIP-231N,1,0.0015600624024961,0,0
DIP-5968N,1,0.0015600624024961,0,0
DIP-48690N,1,0.0015600624024961,0,0
DIP-48901N,1,0.0015600624024961,0,0
DIP-48702N,1,0.0015600624024961,0,0
DIP-1059N,1,0.0015600624024961,0,0
DIP-30849N,1,0.0015600624024961,0,0
DIP-37053N,3,0.0046801872074883,10,4.87519500780031e-05
DIP-33263N,4,0.0062402496099844,5,2.43759750390016e-05
DIP-48942N,1,0.0015600624024961,0,0
DIP-42010N,1,0.0015600624024961,0,0
DIP-48977N,1,0.0015600624024961,0,0
DIP-41144N,1,0.0015600624024961,0,0
DIP-49024N,2,0.0031201248049922,8,3.90015600624025e-05
DIP-29227N,1,0.0015600624024961,0,0
DIP-58640N,1,0.0015600624024961,0,0
DIP-44707N,1,0.0015600624024961,0,0
DIP-29065N,1,0.0015600624024961,0,0
DIP-58641N,1,0.0015600624024961,0,0
DIP-58547N,1,0.0015600624024961,0,0
DIP-58548N,1,0.0015600624024961,0,0
DIP-58549N,1,0.0015600624024961,0,0
DIP-58551N,1,0.0015600624024961,0,0
DIP-58552N,1,0.0015600624024961,0,0
DIP-58554N,1,0.0015600624024961,0,0
DIP-58987N,1,0.0015600624024961,0,0
DIP-46811N,2,0.0031201248049922,7,3.41263650546022e-05
DIP-30882N,1,0.0015600624024961,0,0
DIP-39742N,1,0.0015600624024961,0,0
DIP-29399N,1,0.0015600624024961,0,0
DIP-59045N,1,0.0015600624024961,0,0
DIP-59091N,1,0.0015600624024961,0,0
DIP-40869N,1,0.0015600624024961,0,0
DIP-59093N,1,0.0015600624024961,0,0
DIP-59095N,1,0.0015600624024961,0,0
DIP-59096N,1,0.0015600624024961,0,0
DIP-44832N,2,0.0031201248049922,1,4.87519500780031e-06
DIP-37278N,1,0.0015600624024961,0,0
DIP-59208N,1,0.0015600624024961,0,0
DIP-37656N,1,0.0015600624024961,0,0
DIP-29727N,1,0.0015600624024961,0,0
DIP-37188N,1,0.0015600624024961,0,0
DIP-50866N,1,0.0015600624024961,0,0
DIP-33948N,1,0.0015600624024961,0,0
DIP-44088N,1,0.0015600624024961,0,0
DIP-57088N,1,0.0015600624024961,0,0
DIP-59214N,1,0.0015600624024961,0,0
DIP-40957N,2,0.0031201248049922,1,4.87519500780031e-06
DIP-59370N,1,0.0015600624024961,0,0
DIP-47809N,2,0.0031201248049922,1,4.87519500780031e-06
DIP-44833N,1,0.0015600624024961,0,0
DIP-41848N,1,0.0015600624024961,0,0
DIP-392N,1,0.0015600624024961,0,0
DIP-31970N,2,0.0031201248049922,0,0
DIP-42063N,1,0.0015600624024961,0,0
DIP-59715N,1,0.0015600624024961,0,0
DIP-59688N,1,0.0015600624024961,0,0
DIP-346N,1,0.0015600624024961,0,0
DIP-59840N,1,0.0015600624024961,0,0
DIP-59845N,1,0.0015600624024961,0,0
DIP-36293N,1,0.0015600624024961,0,0
DIP-59956N,1,0.0015600624024961,0,0
DIP-31124N,1,0.0015600624024961,0,0
DIP-60008N,1,0.0015600624024961,0,0
DIP-60041N,1,0.0015600624024961,0,0
DIP-33299N,2,0.0031201248049922,0,0
DIP-60097N,1,0.0015600624024961,0,0
DIP-37314N,2,0.0031201248049922,1,4.87519500780031e-06
DIP-60140N,1,0.0015600624024961,0,0
DIP-60171N,1,0.0015600624024961,0,0
DIP-60186N,1,0.0015600624024961,0,0
DIP-31568N,1,0.0015600624024961,0,0
DIP-41193N,1,0.0015600624024961,0,0
DIP-35759N,1,0.0015600624024961,0,0
DIP-60266N,1,0.0015600624024961,0,0
DIP-1899N,1,0.0015600624024961,0,0
DIP-36968N,1,0.0015600624024961,0,0
DIP-60305N,1,0.0015600624024961,0,0
DIP-41952N,1,0.0015600624024961,0,0
DIP-60342N,2,0.0031201248049922,0.5,2.43759750390016e-06
DIP-60343N,2,0.0031201248049922,0.5,2.43759750390016e-06
DIP-37896N,1,0.0015600624024961,0,0
DIP-60383N,2,0.0031201248049922,38,0.000185257410296412
DIP-175N,1,0.0015600624024961,0,0
DIP-40038N,1,0.0015600624024961,0,0
DIP-40510N,1,0.0015600624024961,0,0
DIP-33604N,1,0.0015600624024961,0,0
DIP-368N,1,0.0015600624024961,0,0
DIP-211N,1,0.0015600624024961,0,0
DIP-35702N,1,0.0015600624024961,0,0
DIP-41481N,2,0.0031201248049922,1,4.87519500780031e-06
DIP-36918N,1,0.0015600624024961,0,0
DIP-37179N,2,0.0031201248049922,1,4.87519500780031e-06
DIP-36947N,2,0.0031201248049922,0,0
DIP-41048N,1,0.0015600624024961,0,0
DIP-36966N,1,0.0015600624024961,0,0
DIP-60743N,1,0.0015600624024961,0,0
DIP-41827N,1,0.0015600624024961,0,0
DIP-32216N,1,0.0015600624024961,0,0
DIP-60747N,2,0.0031201248049922,8,3.90015600624025e-05
DIP-60750N,2,0.0031201248049922,0,0
DIP-60781N,3,0.0046801872074883,434,0.00211583463338534
DIP-36882N,1,0.0015600624024961,0,0
DIP-60791N,1,0.0015600624024961,0,0
DIP-40944N,1,0.0015600624024961,0,0
DIP-30954N,1,0.0015600624024961,0,0
DIP-60875N,2,0.0031201248049922,1,4.87519500780031e-06
DIP-42785N,1,0.0015600624024961,0,0
DIP-29686N,1,0.0015600624024961,0,0
DIP-44911N,1,0.0015600624024961,0,0
DIP-60963N,1,0.0015600624024961,0,0
DIP-43906N,1,0.0015600624024961,0,0
DIP-39378N,1,0.0015600624024961,0,0
DIP-60986N,1,0.0015600624024961,0,0
DIP-61094N,2,0.0031201248049922,7,3.41263650546022e-05
DIP-61122N,1,0.0015600624024961,0,0
DIP-32521N,1,0.0015600624024961,0,0
DIP-2995N,1,0.0015600624024961,0,0
DIP-1559N,1,0.0015600624024961,0,0
DIP-61133N,1,0.0015600624024961,0,0
DIP-61137N,1,0.0015600624024961,0,0
DIP-61143N,1,0.0015600624024961,0,0
DIP-39461N,1,0.0015600624024961,0,0
DIP-37338N,1,0.0015600624024961,0,0
DIP-31275N,1,0.0015600624024961,0,0
DIP-61307N,1,0.0015600624024961,0,0
DIP-119N,1,0.0015600624024961,0,0
DIP-61285N,1,0.0015600624024961,0,0
DIP-61286N,1,0.0015600624024961,0,0
DIP-61291N,1,0.0015600624024961,0,0
DIP-61214N,1,0.0015600624024961,0,0
DIP-29049N,1,0.0015600624024961,0,0
DIP-61323N,1,0.0015600624024961,0,0
DIP-37312N,1,0.0015600624024961,0,0
DIP-554N,1,0.0015600624024961,0,0
DIP-30996N,1,0.0015600624024961,0,0
DIP-34766N,1,0.0015600624024961,0,0
DIP-34554N,1,0.0015600624024961,0,0
DIP-61686N,1,0.0015600624024961,0,0
DIP-37505N,1,0.0015600624024961,0,0
DIP-61630N,1,0.0015600624024961,0,0
DIP-61631N,1,0.0015600624024961,0,0
